Unnamed: 0,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints_x,Int,Fumbles,FumblesLost,FantasyPoints_y,PredictedFantasyPoints
113,RobbyAnderson,NYJ,WR,26.0,16.0,15.0,96.0,52.0,0.0,0.0,0.0,4.0,0.0,1.0,779.0,5.0,160.3,0.0,1.0,0.0,129.0,93.379234
114,ChrisConley,JAX,WR,27.0,16.0,14.0,90.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,775.0,5.0,154.5,0.0,0.0,0.0,57.0,87.16196
115,DukeJohnson,HOU,RB,26.0,16.0,2.0,62.0,44.0,0.0,0.0,0.0,410.0,2.0,83.0,410.0,3.0,154.0,0.0,1.0,1.0,56.0,80.81759
116,MasonRudolph,PIT,QB,24.0,10.0,8.0,0.0,0.0,1765.0,13.0,283.0,42.0,0.0,21.0,0.0,0.0,108.8,9.0,4.0,0.0,18.0,89.345436
117,JamaalWilliams,GNB,RB,24.0,14.0,2.0,45.0,39.0,0.0,0.0,0.0,460.0,1.0,107.0,253.0,5.0,146.3,0.0,0.0,0.0,96.0,84.79181
118,DavidJohnson,ARI,RB,28.0,13.0,9.0,47.0,36.0,0.0,0.0,0.0,345.0,2.0,94.0,370.0,4.0,141.5,0.0,1.0,1.0,147.0,68.93596
119,DiontaeJohnson,PIT,WR,23.0,16.0,12.0,92.0,59.0,0.0,0.0,0.0,41.0,0.0,4.0,680.0,5.0,157.1,0.0,5.0,2.0,134.0,112.00096
120,CaseKeenum,WAS,QB,31.0,10.0,8.0,0.0,0.0,1707.0,11.0,247.0,12.0,1.0,9.0,0.0,0.0,103.48,5.0,6.0,3.0,2.0,104.54839
121,GoldenTate,NYG,WR,31.0,11.0,10.0,85.0,49.0,0.0,0.0,0.0,16.0,0.0,1.0,676.0,6.0,152.2,0.0,1.0,1.0,52.0,83.957344
122,LarryFitzgerald,ARI,WR,36.0,16.0,16.0,109.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,804.0,4.0,177.4,0.0,1.0,1.0,47.0,73.006134
